"","charact","end","film","good","life","make","movi","onli","perform","play","scene","stori","time","veri","work","year","class","bad","plot"
"character(0)82",0,0,0,4,0,1,1,2,0,1,0,0,0,1,0,0,"Positive",0,0
"character(0)83",3,2,0,1,1,0,2,0,0,0,2,4,0,1,0,0,"Positive",0,0
"character(0)84",8,1,0,2,0,3,1,2,5,3,1,1,0,3,0,0,"Positive",0,0
"character(0)85",1,2,0,2,1,2,0,1,1,1,3,2,3,4,1,3,"Positive",0,0
"character(0)86",3,0,0,1,2,3,3,1,0,3,3,0,1,0,0,2,"Positive",0,0
"character(0)87",11,3,0,0,3,0,17,2,0,4,2,0,1,4,0,1,"Positive",0,0
"character(0)88",1,0,0,1,5,1,1,1,0,0,0,2,1,1,1,1,"Positive",0,0
"character(0)89",2,0,0,1,0,1,0,0,1,2,0,0,2,0,1,1,"Positive",0,0
"character(0)90",2,0,0,3,0,1,2,0,0,0,0,0,1,1,0,0,"Positive",0,0
"character(0)91",3,1,0,0,1,0,0,1,0,0,0,2,2,0,0,2,"Positive",0,0
"character(0)92",1,1,0,0,2,1,0,0,0,0,0,0,1,1,3,1,"Positive",0,0
"character(0)93",1,2,0,0,0,0,1,1,1,4,0,0,0,0,0,0,"Positive",0,0
"character(0)94",2,0,0,1,3,2,2,0,1,0,1,1,0,0,3,0,"Positive",0,0
"character(0)95",2,1,0,1,0,3,2,1,1,0,1,2,0,0,2,0,"Positive",0,0
"character(0)96",1,2,0,0,0,2,4,2,1,1,0,1,0,1,0,0,"Positive",0,0
"character(0)97",1,2,0,1,2,3,1,1,0,1,1,0,3,2,4,1,"Positive",0,0
"character(0)98",1,1,0,3,0,1,4,0,3,2,1,0,4,1,0,1,"Positive",0,0
"character(0)99",2,2,0,0,0,0,3,3,2,1,3,0,3,1,1,0,"Positive",0,0
"character(0)100",6,2,0,17,0,3,3,1,2,1,3,0,2,0,0,0,"Positive",0,0
"character(0)101",7,1,0,0,0,4,4,0,1,1,0,1,0,0,1,0,"Positive",0,0
"character(0)102",2,1,0,0,0,6,3,1,0,0,3,6,3,1,2,0,"Positive",0,0
"character(0)103",3,1,0,5,2,4,4,1,2,3,1,1,1,2,0,0,"Positive",0,0
"character(0)104",2,3,0,2,0,4,3,0,0,4,3,0,1,0,0,1,"Positive",0,0
"character(0)105",2,3,0,0,0,2,0,0,1,1,6,4,4,0,1,0,"Positive",0,0
"character(0)106",0,2,0,0,0,0,0,2,1,0,0,0,1,2,0,0,"Positive",0,0
"character(0)107",1,2,0,0,0,3,7,0,0,0,1,0,1,0,0,1,"Positive",0,0
"character(0)108",0,0,0,0,5,1,1,0,1,0,0,0,0,2,0,1,"Positive",0,0
"character(0)109",1,1,0,3,2,1,3,0,0,0,0,0,0,1,1,0,"Positive",0,0
"character(0)110",2,2,0,0,0,2,14,0,0,3,3,1,1,2,1,2,"Positive",0,0
"character(0)111",1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,"Positive",0,0
"character(0)112",0,3,0,0,0,3,1,0,1,0,2,2,0,2,3,0,"Positive",0,0
"character(0)113",0,1,0,0,1,3,7,3,0,0,1,7,1,1,1,2,"Positive",0,0
"character(0)114",0,0,0,0,1,1,4,1,1,2,0,0,0,1,0,0,"Positive",0,0
"character(0)115",4,0,0,0,1,3,10,1,2,1,3,5,1,2,0,2,"Positive",0,0
"character(0)116",4,0,0,2,0,0,0,1,0,1,1,4,4,3,0,0,"Positive",0,0
"character(0)117",5,2,0,2,3,4,4,1,1,2,0,1,2,1,1,2,"Positive",0,0
"character(0)118",8,2,0,0,0,1,6,1,1,0,3,0,0,0,0,0,"Positive",0,0
"character(0)119",0,0,0,1,0,1,3,0,0,1,0,0,2,5,0,0,"Positive",0,0
"character(0)120",4,0,0,0,4,2,6,0,1,3,0,4,1,2,0,0,"Positive",0,0
"character(0)121",3,3,0,0,0,5,0,0,1,2,3,2,0,0,2,1,"Positive",0,0
"character(0)122",4,3,0,0,0,4,0,2,0,0,2,2,2,1,1,1,"Positive",0,0
"character(0)123",2,2,0,6,0,0,1,1,3,2,4,0,3,6,2,0,"Positive",0,0
"character(0)124",1,0,0,1,1,6,0,1,2,0,0,5,0,0,0,0,"Positive",0,0
"character(0)125",1,0,0,1,1,1,2,1,0,0,1,2,0,3,2,0,"Positive",0,0
"character(0)126",1,1,0,0,0,2,6,3,1,2,0,0,0,1,1,0,"Positive",0,0
"character(0)127",0,1,0,0,0,1,4,2,1,0,0,1,2,0,0,2,"Positive",0,0
"character(0)128",0,0,0,0,1,1,0,0,0,1,1,1,1,3,1,0,"Positive",0,0
"character(0)129",2,0,0,1,6,1,5,0,1,1,0,1,3,0,1,1,"Positive",0,0
"character(0)130",1,0,0,1,0,1,0,0,2,3,0,0,0,0,2,2,"Positive",0,0
"character(0)131",1,2,0,3,3,1,1,1,3,1,1,2,2,5,3,0,"Positive",0,0
"character(0)132",0,0,0,0,0,1,5,0,0,0,1,0,2,1,2,0,"Positive",0,0
"character(0)133",2,0,0,0,0,0,2,1,4,0,0,5,1,0,0,2,"Positive",0,0
"character(0)134",4,4,0,3,0,6,8,0,1,3,0,1,2,3,0,2,"Positive",0,0
"character(0)135",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Positive",0,0
"character(0)136",5,1,0,0,1,2,6,1,1,1,0,0,0,2,0,0,"Positive",0,0
"character(0)137",1,0,0,0,0,0,3,1,1,3,0,0,0,0,3,0,"Positive",0,0
"character(0)138",1,2,0,0,0,0,2,0,1,2,2,2,0,0,0,0,"Positive",0,0
"character(0)139",0,1,0,1,0,1,2,0,3,0,0,1,1,3,1,0,"Positive",0,0
"character(0)140",3,1,0,0,0,3,0,2,0,0,0,4,0,2,2,1,"Positive",0,0
"character(0)141",5,2,0,0,0,2,3,1,1,1,0,0,2,5,0,1,"Positive",0,0
"character(0)142",0,0,0,1,5,2,2,0,1,0,0,1,0,0,1,0,"Positive",0,0
"character(0)143",3,3,0,0,2,4,1,4,1,2,4,2,0,2,4,0,"Positive",0,0
"character(0)144",3,0,0,0,1,1,3,0,3,1,0,0,0,0,0,0,"Positive",0,0
"character(0)145",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"Positive",0,0
"character(0)146",3,2,0,1,0,1,11,3,0,1,0,13,5,0,1,4,"Positive",0,0
"character(0)147",7,0,0,3,3,2,3,1,3,1,1,15,4,1,1,9,"Positive",0,0
"character(0)148",2,0,0,2,0,4,1,1,0,1,0,1,0,5,0,2,"Positive",0,0
"character(0)149",3,0,0,1,1,0,2,1,1,1,0,2,1,0,1,0,"Positive",0,0
"character(0)150",1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,3,"Positive",0,0
"character(0)151",1,1,0,0,1,4,1,1,0,0,0,4,1,0,0,3,"Positive",0,0
"character(0)152",0,0,0,0,0,0,9,0,0,1,0,0,2,1,1,0,"Positive",0,0
"character(0)153",7,2,0,7,0,5,2,3,4,4,2,0,0,2,1,0,"Positive",0,0
"character(0)154",0,0,0,0,1,1,0,1,0,1,0,2,2,0,2,1,"Positive",0,0
"character(0)155",2,1,0,0,0,0,7,2,3,4,3,0,0,3,3,0,"Positive",0,0
"character(0)156",1,0,0,1,0,0,2,0,0,0,0,2,1,1,5,1,"Positive",0,0
"character(0)157",2,0,0,0,1,0,1,0,0,1,0,2,0,1,1,0,"Positive",0,0
"character(0)158",2,1,0,0,3,0,3,3,1,0,1,1,1,4,0,5,"Positive",0,0
"character(0)159",0,2,0,0,0,4,0,0,0,0,1,1,1,0,1,1,"Positive",0,0
"character(0)160",0,2,0,0,1,2,1,1,2,0,1,0,3,0,1,1,"Positive",0,0
"character(0)161",3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,"Positive",0,0
"character(0)162",11,0,0,3,1,2,2,3,2,1,3,1,2,2,1,1,"Positive",0,0
"character(0)163",7,1,0,1,0,2,0,4,1,0,0,2,1,0,2,3,"Positive",0,0
"character(0)164",0,0,0,1,0,3,1,3,1,0,2,7,1,0,0,0,"Positive",0,0
"character(0)165",5,2,0,0,0,3,0,1,1,0,2,19,4,0,0,0,"Positive",0,0
"character(0)166",0,1,0,0,0,1,1,2,0,2,0,2,6,2,0,0,"Positive",0,0
"character(0)167",0,0,0,0,4,1,1,1,0,0,2,4,0,0,1,1,"Positive",0,0
"character(0)168",2,1,0,0,2,1,0,1,2,2,0,4,1,4,0,0,"Positive",0,0
"character(0)169",0,2,0,0,2,1,0,2,1,0,1,3,1,0,0,1,"Positive",0,0
"character(0)170",0,0,0,1,0,1,6,1,0,0,1,1,2,1,0,0,"Positive",0,0
"character(0)171",0,1,0,0,0,3,0,1,0,1,1,0,1,5,1,1,"Positive",0,0
"character(0)172",3,1,0,0,1,1,0,0,0,2,2,1,2,0,0,1,"Positive",0,0
"character(0)173",2,0,0,2,0,1,2,0,0,0,1,0,1,2,2,1,"Positive",0,0
"character(0)174",0,1,0,1,0,2,0,1,0,0,0,3,2,4,0,2,"Positive",0,0
"character(0)175",0,1,0,2,2,0,11,1,0,0,3,1,0,0,0,0,"Positive",0,0
"character(0)176",2,1,0,0,0,0,5,1,0,1,2,0,1,2,0,0,"Positive",0,0
"character(0)177",2,2,0,0,0,0,4,2,1,8,1,2,0,0,1,0,"Positive",0,0
"character(0)178",0,1,0,2,6,1,1,0,0,0,1,0,0,0,0,0,"Positive",0,0
"character(0)179",1,0,0,0,1,0,1,0,0,0,0,5,1,0,1,1,"Positive",0,0
"character(0)180",4,0,0,0,1,1,0,0,2,0,0,1,1,3,0,0,"Positive",0,0
"character(0)181",1,0,0,0,1,0,3,1,2,3,0,0,0,0,0,2,"Positive",0,0
"character(0)182",5,1,0,1,1,2,6,4,0,2,0,0,1,4,0,0,"Positive",0,0
"character(0)183",5,1,0,0,1,2,5,1,2,3,4,2,1,2,1,3,"Positive",0,0
"character(0)184",1,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,"Positive",0,0
"character(0)185",1,1,0,2,0,1,6,0,1,1,0,1,2,3,1,1,"Positive",0,0
"character(0)186",1,0,0,2,0,3,0,1,1,2,1,0,2,0,1,0,"Positive",0,0
"character(0)187",1,3,0,1,1,0,1,0,1,1,0,0,0,0,1,2,"Positive",0,0
"character(0)188",2,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,"Positive",0,0
"character(0)189",2,0,0,0,0,2,2,2,0,4,1,0,1,0,1,0,"Positive",0,0
"character(0)190",4,1,0,1,3,3,2,1,1,1,3,4,0,1,3,1,"Positive",0,0
"character(0)191",3,0,0,0,1,1,0,0,0,0,0,1,1,4,1,2,"Positive",0,0
"character(0)192",2,1,0,1,1,2,2,3,3,1,0,0,1,0,0,0,"Positive",0,0
"character(0)193",0,1,0,1,0,0,5,2,0,0,5,6,4,0,0,1,"Positive",0,0
"character(0)194",0,0,0,2,0,2,3,0,0,3,0,0,1,1,0,0,"Positive",0,0
"character(0)195",2,2,0,2,0,0,7,1,1,0,1,0,3,0,2,2,"Positive",0,0
"character(0)196",1,0,0,0,0,2,14,2,0,0,0,2,2,0,0,4,"Positive",0,0
"character(0)197",1,0,0,0,2,0,2,0,2,0,1,1,0,1,1,2,"Positive",0,0
"character(0)198",0,0,0,0,0,2,1,0,0,1,2,2,1,0,1,0,"Positive",0,0
"character(0)199",2,2,0,0,0,2,10,1,0,2,0,6,2,1,0,0,"Positive",0,0
"character(0)200",1,2,0,1,1,0,0,2,1,0,0,0,0,0,1,3,"Positive",0,0
"character(0)201",5,0,0,2,0,2,1,0,0,1,0,0,1,0,0,0,"Positive",0,0
"character(0)202",0,1,0,1,0,0,5,1,0,0,3,4,4,2,2,1,"Positive",0,0
"character(0)203",0,0,0,1,3,0,4,0,1,0,2,0,1,0,0,0,"Positive",0,0
"character(0)204",3,1,0,1,2,1,6,2,1,0,1,2,2,0,2,0,"Positive",0,0
"character(0)205",1,0,0,0,1,1,2,0,0,1,2,1,1,1,2,1,"Positive",0,0
"character(0)206",3,0,0,1,1,1,4,2,3,0,3,1,3,3,2,0,"Positive",0,0
"character(0)207",0,3,0,0,4,2,0,0,1,3,0,0,0,0,1,1,"Positive",0,0
"character(0)208",0,2,0,7,1,0,11,3,0,0,3,0,0,3,0,1,"Positive",0,0
"character(0)209",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"Positive",0,0
"character(0)210",2,0,0,1,1,3,1,1,2,1,1,0,2,1,1,0,"Positive",0,0
"character(0)211",5,3,0,3,1,6,2,13,2,2,5,1,0,4,2,2,"Positive",0,0
"character(0)212",1,2,0,3,0,3,7,0,0,2,0,0,3,0,0,0,"Positive",0,0
"character(0)213",1,1,0,1,0,0,4,0,0,0,0,1,0,1,0,0,"Positive",0,0
"character(0)214",1,0,0,1,0,3,3,5,0,1,0,0,3,0,2,1,"Positive",0,0
"character(0)215",3,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,"Positive",0,0
"character(0)216",1,3,0,0,1,0,1,2,2,1,0,2,1,0,0,0,"Positive",0,0
"character(0)217",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Positive",0,0
"character(0)218",0,3,0,0,0,2,5,1,0,0,0,1,4,0,2,2,"Positive",0,0
"character(0)219",2,1,0,0,0,0,1,1,0,4,0,0,0,2,0,0,"Positive",0,0
"character(0)220",1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,"Positive",0,0
"character(0)221",0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,"Positive",0,0
"character(0)222",2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,"Positive",0,0
"character(0)223",2,5,0,1,0,1,5,3,1,0,3,4,1,0,1,0,"Positive",0,0
"character(0)224",3,1,0,0,0,1,0,1,0,4,2,0,2,5,2,1,"Positive",0,0
"character(0)225",1,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,"Positive",0,0
"character(0)226",5,2,0,2,1,1,2,0,0,5,2,0,0,0,2,0,"Positive",0,0
"character(0)227",1,3,0,0,0,2,7,3,0,0,2,1,0,0,0,0,"Positive",0,0
"character(0)228",0,0,0,0,3,0,1,0,0,4,1,2,1,3,4,1,"Positive",0,0
"character(0)229",0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,"Positive",0,0
"character(0)230",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,"Positive",0,0
"character(0)231",7,0,0,0,0,1,0,1,1,0,2,0,1,0,2,6,"Positive",0,0
"character(0)232",3,6,0,1,1,1,4,2,1,5,0,0,1,0,1,2,"Positive",0,0
"character(0)233",4,3,0,0,5,3,0,0,0,1,1,4,1,1,1,2,"Positive",0,0
"character(0)234",0,1,0,0,1,0,9,2,1,1,1,3,0,0,2,5,"Positive",0,0
"character(0)235",0,1,0,1,6,0,0,1,0,0,2,0,4,0,0,0,"Positive",0,0
"character(0)236",1,2,0,1,0,1,4,2,0,2,5,0,1,2,2,0,"Positive",0,0
"character(0)237",0,1,0,3,0,1,7,0,0,1,0,0,2,0,2,1,"Positive",0,0
"character(0)238",0,0,0,4,1,3,4,1,1,2,0,1,1,0,0,0,"Positive",0,0
"character(0)239",7,0,0,1,0,0,0,1,5,2,1,1,1,5,2,0,"Positive",0,0
"character(0)240",0,2,0,5,2,3,1,1,1,2,2,3,3,0,3,0,"Positive",0,0
"character(0)241",3,3,0,0,1,1,7,3,0,0,1,1,5,0,2,4,"Positive",0,0
"character(0)242",0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,"Positive",0,0
"character(0)243",2,1,0,4,1,1,3,0,0,4,1,0,1,0,0,1,"Positive",0,0
"character(0)244",0,1,0,0,0,2,0,1,0,1,0,1,3,1,1,0,"Positive",0,0
"character(0)245",2,1,0,0,1,2,0,0,1,1,1,3,1,1,0,0,"Positive",0,0
"character(0)246",6,1,0,0,5,3,1,1,1,4,1,3,2,0,0,2,"Positive",0,0
"character(0)247",0,0,0,2,1,4,1,4,1,3,7,1,5,1,0,0,"Positive",0,0
"character(0)248",5,0,0,1,1,1,0,0,0,0,3,2,2,0,1,2,"Positive",0,0
"character(0)249",2,0,0,0,0,1,1,1,0,1,0,0,1,0,1,2,"Positive",0,0
"character(0)250",0,1,0,0,7,3,1,3,0,0,1,2,3,2,2,1,"Positive",0,0
"character(0)251",15,3,0,0,0,4,3,4,2,0,2,4,3,1,0,0,"Positive",0,0
"character(0)252",4,1,0,0,3,3,4,1,0,1,0,2,2,2,0,0,"Positive",0,0
"character(0)253",1,0,0,5,0,1,1,0,1,0,0,2,0,0,0,0,"Positive",0,0
"character(0)254",3,0,0,0,1,1,0,0,1,3,4,0,2,0,1,0,"Positive",0,0
"character(0)255",1,2,0,0,0,0,3,1,1,0,1,3,0,0,1,0,"Positive",0,0
"character(0)256",1,1,0,5,4,4,2,2,0,2,4,5,5,7,1,4,"Positive",0,0
"character(0)257",0,0,0,2,0,2,1,1,0,1,1,1,1,0,1,1,"Positive",0,0
"character(0)258",3,2,0,2,2,1,0,0,1,1,3,1,1,1,0,0,"Positive",0,0
"character(0)259",7,1,0,1,0,0,0,4,0,1,2,0,2,1,1,0,"Positive",0,0
"character(0)260",3,1,0,1,1,0,2,1,2,1,2,0,1,0,0,0,"Positive",0,0
"character(0)261",3,1,0,2,0,2,2,2,1,3,4,5,0,5,3,1,"Positive",0,0
"character(0)262",0,0,0,4,1,5,9,0,0,2,3,1,1,3,3,0,"Positive",0,0
"character(0)263",1,0,0,0,0,2,2,3,2,1,1,0,3,3,0,1,"Positive",0,0
"character(0)264",3,1,0,1,4,2,1,1,1,3,0,0,1,1,1,0,"Positive",0,0
"character(0)265",2,1,0,1,0,2,3,1,0,2,3,0,1,1,0,1,"Positive",0,0
"character(0)266",2,1,0,1,1,0,0,1,1,2,3,1,0,0,0,2,"Positive",0,0
"character(0)267",2,0,0,3,4,3,10,5,1,1,1,0,1,5,2,2,"Positive",0,0
"character(0)268",3,1,0,0,0,1,6,0,1,2,1,1,1,0,1,1,"Positive",0,0
"character(0)269",3,0,0,5,2,3,0,1,0,0,2,0,4,0,8,1,"Positive",0,0
"character(0)270",0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,"Positive",0,0
"character(0)271",3,1,0,3,2,2,1,1,2,2,6,0,0,2,0,3,"Positive",0,0
"character(0)272",1,1,0,0,1,4,2,2,1,0,1,0,0,2,0,1,"Positive",0,0
"character(0)273",2,1,0,0,3,4,1,1,1,0,0,1,0,0,1,0,"Positive",0,0
"character(0)274",4,0,0,0,1,3,10,1,2,1,3,5,1,2,0,2,"Positive",0,0
"character(0)275",1,0,0,0,1,1,3,0,2,0,1,2,2,0,1,2,"Positive",0,0
"character(0)276",1,2,0,0,2,2,0,2,2,1,1,0,1,0,0,1,"Positive",0,0
"character(0)277",0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,"Positive",0,0
"character(0)278",1,1,0,2,2,4,0,2,2,1,2,3,2,2,3,1,"Positive",0,0
"character(0)279",1,1,0,1,0,2,1,0,0,0,1,0,1,0,1,0,"Positive",0,0
"character(0)280",0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,"Positive",0,0
"character(0)281",1,0,0,3,1,4,4,1,3,2,3,0,2,0,1,2,"Positive",0,0
"character(0)282",2,0,0,3,0,2,9,0,0,2,1,1,4,1,1,0,"Positive",0,0
"character(0)283",1,1,0,0,0,0,2,1,1,0,0,0,3,3,2,0,"Positive",0,0
"character(0)284",2,1,0,1,1,3,2,1,3,0,5,3,2,3,2,2,"Positive",0,0
"character(0)285",1,1,0,0,0,0,2,0,0,0,3,1,2,0,0,0,"Positive",0,0
"character(0)286",11,0,0,1,3,0,4,1,0,4,5,0,1,4,1,2,"Positive",0,0
"character(0)287",0,0,0,1,1,0,7,0,0,0,0,0,0,1,0,1,"Positive",0,0
"character(0)288",1,2,0,1,1,0,2,4,1,1,1,1,1,0,3,0,"Positive",0,0
